OBJECTID,Latitude_min,Longitude_min,Latitude_max,Longitude_max,Date,Time_UTC
81,46.1429,-116.8291,45.6788,-117.0001,2012-08-25,21:00
82,44.1586,-116.9271,42.2244,-117.596,2012-08-16,21:05
83,44.4781,-117.4551,42.8868,-118.0031,2013-09-04,21:05
84,39.9329,-116.4391,44.5974,-118.0258,2018-08-01,21:05
85,44.2528,-117.8692,45.2194,-118.2006,2009-09-25,21:05
86,46.8323,-118.7732,47.4364,-118.9965,2011-08-30,21:05
87,48.9969,-119.1223,48.1745,-119.4612,2014-08-06,21:05
88,48.0382,-119.2603,48.6939,-119.5209,2011-08-30,21:05
89,47.6074,-119.113,49,-119.6769,2018-08-17,21:05
90,48.3066,-119.421,48.9223,-119.6866,2006-08-16,21:05
91,45.9698,-118.5056,49,-119.6966,2017-08-30,21:05
92,48.3994,-119.4489,49,-119.6985,2018-08-01,21:05
93,42.4081,-113.9274,45.874,-115.1762,2020-08-22,21:10
94,33.7129,-115.9616,35.9599,-116.585,2009-08-31,21:10
95,41.9818,-118.0291,40.056,-118.6967,2013-08-26,21:10
96,42.2801,-118.7795,42.3133,-118.786,2006-08-23,21:10
97,41.954,-118.5933,42.5733,-118.8032,2018-09-09,21:10
98,40.6923,-118.2073,43.388,-119.1088,2018-08-24,21:10
99,47.5,-119.087,49,-119.7222,2015-08-25,21:10
100,42.0054,-118.6534,47.2083,-120.5224,2018-08-08,21:10
101,47.7953,-120.3539,47.3228,-120.5561,2013-08-10,21:10
102,45.2421,-119.7705,48.0509,-120.8447,2010-08-02,21:10
103,34.2871,-117.8033,34.553,-117.8807,2009-09-07,21:15
104,36.1649,-118.3377,36.5664,-118.4544,2011-08-12,21:15
105,35.6721,-118.2322,36.2874,-118.4623,2016-08-25,21:15
106,44.0313,-119.3135,44.9511,-119.6423,2009-09-16,21:15
107,43.8722,-119.8421,41.6476,-120.5952,2012-08-14,21:15
108,44.7854,-120.7217,44.2753,-120.9133,2012-08-14,21:15
109,45.5949,-121.1192,44.8082,-121.1964,2006-08-14,21:15
110,44.8775,-121.1731,45.0839,-121.2485,2010-08-25,21:15
111,45.8277,-120.2376,42.7992,-121.3241,2014-08-04,21:15
112,49.4987,-121.4475,45.573,-121.4746,2006-08-14,21:15
113,45.2902,-121.4709,45.5924,-121.5842,2011-09-13,21:15
114,45.4453,-119.7688,49,-121.606,2017-08-05,21:15
115,44.9595,-121.2258,48.914,-122.725,2018-08-15,21:15
116,44.2384,-121.2064,49,-122.7921,2015-08-23,21:15
117,36.3731,-118.4579,36.4504,-118.4812,2006-08-14,21:20
118,34.4441,-119.4367,35.0401,-119.6025,2007-08-08,21:20
119,34.4886,-119.4556,35.5506,-119.7723,2007-08-24,21:20
120,40.6244,-120.9247,40.0325,-121.118,2012-08-05,21:20
121,43.9272,-120.7229,45.2586,-121.2624,2011-08-28,21:20
122,40.4365,-121.1879,41.6095,-121.5764,2018-09-07,21:20
123,41.776,-121.0549,39.9,-121.6596,2012-08-21,21:20
124,43.9706,-120.8662,46.2184,-121.723,2017-08-28,21:20
125,36.7044,-120.1001,42.5952,-121.9564,2018-08-06,21:20
126,43.9318,-121.7044,42.0365,-122.3525,2014-08-27,21:20
127,45.2974,-121.3179,48.1293,-122.394,2009-09-23,21:20
128,41.4781,-121.5679,44.383,-122.8576,2018-08-22,21:20
129,34.2323,-114.9317,38.6011,-116.2103,2020-09-07,21:25
130,32.6936,-118.8465,35.4791,-119.6112,2009-08-13,21:25
131,36.3184,-119.8034,37.78411,-120.228,2009-08-29,21:25
132,44.55,-122.6048,39.7133,-120.9837,2017-08-19,21:25
133,43.5399,-122.2114,42.4455,-121.8417,2017-08-03,21:25
134,39.7951,-121.661,37.4343,-122.3959,2014-09-19,21:25
135,43.9688,-122.3667,45.5734,-122.9213,2017-08-03,21:25
136,41.2566,-123.046,41.6568,-123.1806,2006-08-28,21:25
137,42,-121.7677,46.8309,-123.4502,2017-09-04,21:25
138,42.6034,-123.4217,42.9148,-123.5322,2018-09-14,21:25
139,36.9483,-117.9141,43.1188,-119.8872,2020-08-20,21:30
140,36.0964,-121.4644,36.548,-121.6022,2016-08-23,21:30
141,41.799,-123.23,40.1248,-122.6106,2015-08-05,21:30
142,40.5974,-122.7215,40.4304,-122.7775,2014-07-17,21:30
143,40.9855,-122.5035,39.6451,-122.9455,2012-08-28,21:30
144,41.8242,-123.1092,41.6407,-123.1715,2014-09-03,21:30
145,42.2095,-122.7534,40.9497,-123.1784,2014-08-02,21:30
146,42.1499,-123.1834,41.7387,-123.3187,2012-08-28,21:30
147,39.678,-122.5969,41.9961,-123.3516,2008-08-01,21:30
148,42.2422,-122.9686,41.0332,-123.3538,2013-08-15,21:30
149,42.2474,-123.3461,42.602,-123.4528,2009-09-21,21:30
150,41.7958,-123.1933,42.6766,-123.4952,2018-08-29,21:30
151,43.6025,-123.0135,41.4772,-123.7136,2013-07-30,21:30
152,40.6643,-122.9208,43.119,-123.7454,2008-08-17,21:30
153,38.9172,-122.4138,44.2043,-124.1297,2011-09-11,21:30
154,40.8081,-122.9147,44.3896,-124.1298,2017-08-26,21:30
155,42.4692,-124.3246,42.9316,-124.4818,2018-09-27,21:35
156,34.0841,-118.6139,39.3886,-120.199,2020-09-10,21:40
157,40.3236,-121.1563,40.6926,-121.2707,2020-08-02,21:40
158,43.0594,-121.384,47.1044,-122.8531,2020-09-10,21:40
159,40.1433,-122.4172,42.1703,-123.0674,2020-09-05,21:45
160,36.0251,-121.4269,42.2625,-123.3512,2020-08-23,21:45
161,41.125,-123.1881,41.8251,-123.417,2020-08-10,21:45
162,42,-118.65,49,-121.3225,2017-09-06,21:10
163,48.9711,-115.077,45.6,-113.743,2015-08-20,21:10
164,37.9789,-118.9583,36.2897,-118.4587,2015-08-23,21:10
165,48.4722,-121.0386,46.6842,-120.2608,2015-08-16,21:10
166,47.0772,-120.4689,48.4424,-121.0401,2015-08-16,21:10
167,43.7822,-110.5102,49,-108.57,2015-08-20,10:00
168,45.6618,-116.0447,47,-115.5,2015-08-16,10:00
169,47.2626,-120.0671,48.7729,-119.4877,2015-08-21,10:00
170,45.8903,-122.2054,48.9832,-120.9182,2015-08-12,10:00
171,40.2518,-124.0488,42.8311,-123.1678,2015-08-12,10:00
