,OBJECTID,Latitude_min,Longitude_min,Latitude_max,Longitude_max,Date,Time_UTC,Year,julian_day,MODIS_filename,time_offset
39,40,48.6479,-113.3757,48.728,-113.093,2006-08-04,20:40,2006,215,MOD07_L2.A2006215.1945.061.2017266080345.hdf,95.0
116,117,36.3731,-118.4579,36.4504,-118.4812,2006-08-14,21:20,2006,225,MOD07_L2.A2006225.1850.061.2017266081940.hdf,190.0
