,Lat,Lon,mixing_height_km,Date,Time_UTC
89,36.595333,-119.40505,1.456617737032581,2006-08-14,1850
90,36.47994,-118.63607,2.151682645338892,2006-08-14,1850
91,36.471527,-118.5814,2.151682645338892,2006-08-14,1850
92,36.63045,-119.96793,0.806459038623858,2006-08-14,1850
93,36.62258,-119.91232,0.806459038623858,2006-08-14,1850
94,36.614693,-119.8568,0.806459038623858,2006-08-14,1850
95,36.606785,-119.80135,1.456617737032581,2006-08-14,1850
96,36.59886,-119.74598,1.456617737032581,2006-08-14,1850
97,36.590916,-119.69067,1.456617737032581,2006-08-14,1850
98,36.58295,-119.635414,1.456617737032581,2006-08-14,1850
99,36.574966,-119.580215,1.456617737032581,2006-08-14,1850
100,36.55893,-119.46995,1.456617737032581,2006-08-14,1850
101,36.550877,-119.41486,1.456617737032581,2006-08-14,1850
102,36.5428,-119.35981,1.456617737032581,2006-08-14,1850
103,36.427074,-118.59113,2.151682645338892,2006-08-14,1850
104,36.418667,-118.53669,2.151682645338892,2006-08-14,1850
105,36.586426,-119.98341,0.806459038623858,2006-08-14,1850
106,36.578526,-119.92784,0.806459038623858,2006-08-14,1850
107,36.570614,-119.87235,0.806459038623858,2006-08-14,1850
108,36.56269,-119.81694,0.806459038623858,2006-08-14,1850
109,36.554745,-119.7616,1.456617737032581,2006-08-14,1850
110,36.546787,-119.70632,0.806459038623858,2006-08-14,1850
111,36.53881,-119.6511,1.456617737032581,2006-08-14,1850
112,36.530815,-119.595924,1.456617737032581,2006-08-14,1850
113,36.5228,-119.5408,1.456617737032581,2006-08-14,1850
114,36.514767,-119.48571,1.456617737032581,2006-08-14,1850
115,36.50671,-119.43066,1.456617737032581,2006-08-14,1850
116,36.498634,-119.37562,1.456617737032581,2006-08-14,1850
117,36.490532,-119.32061,1.456617737032581,2006-08-14,1850
118,36.37452,-118.55227,2.151682645338892,2006-08-14,1850
119,36.36606,-118.497635,2.151682645338892,2006-08-14,1850
120,36.136658,-117.067696,1.456617737032581,2006-08-14,1850
121,36.54174,-119.99293,0.806459038623858,2006-08-14,1850
122,36.53388,-119.93738,0.806459038623858,2006-08-14,1850
123,36.525997,-119.88192,0.806459038623858,2006-08-14,1850
124,36.5181,-119.82653,0.806459038623858,2006-08-14,1850
125,36.510185,-119.77122,0.806459038623858,2006-08-14,1850
126,36.502247,-119.715965,0.806459038623858,2006-08-14,1850
127,36.494293,-119.660774,0.806459038623858,2006-08-14,1850
128,36.486317,-119.60563,0.806459038623858,2006-08-14,1850
129,36.478317,-119.55054,0.806459038623858,2006-08-14,1850
130,36.462254,-119.440445,1.456617737032581,2006-08-14,1850
131,36.45418,-119.385445,1.456617737032581,2006-08-14,1850
132,36.44609,-119.33046,1.456617737032581,2006-08-14,1850
133,36.43797,-119.2755,1.456617737032581,2006-08-14,1850
134,36.321476,-118.5069,2.151682645338892,2006-08-14,1850
135,36.49001,-119.95324,0.806459038623858,2006-08-14,1850
136,36.482105,-119.89782,0.806459038623858,2006-08-14,1850
137,36.474186,-119.84247,0.806459038623858,2006-08-14,1850
138,36.46625,-119.78719,0.806459038623858,2006-08-14,1850
139,36.4583,-119.73198,0.806459038623858,2006-08-14,1850
140,36.450333,-119.67682,0.806459038623858,2006-08-14,1850
141,36.442345,-119.62171,0.806459038623858,2006-08-14,1850
142,36.43434,-119.56665,0.806459038623858,2006-08-14,1850
143,36.418266,-119.45663,1.456617737032581,2006-08-14,1850
144,36.4102,-119.401665,1.456617737032581,2006-08-14,1850
145,36.402107,-119.34671,1.456617737032581,2006-08-14,1850
146,36.393993,-119.29178,1.456617737032581,2006-08-14,1850
147,36.385853,-119.236855,1.456617737032581,2006-08-14,1850
148,36.44536,-119.96276,0.806459038623858,2006-08-14,1850
149,36.437485,-119.907364,0.806459038623858,2006-08-14,1850
150,36.429596,-119.85204,0.806459038623858,2006-08-14,1850
151,36.421688,-119.79679,0.806459038623858,2006-08-14,1850
152,36.41376,-119.7416,0.806459038623858,2006-08-14,1850
153,36.40581,-119.68647,0.806459038623858,2006-08-14,1850
154,36.397846,-119.63139,0.806459038623858,2006-08-14,1850
155,36.389854,-119.57636,0.806459038623858,2006-08-14,1850
156,36.381844,-119.52136,1.456617737032581,2006-08-14,1850
157,36.373806,-119.4664,1.456617737032581,2006-08-14,1850
158,36.365746,-119.41146,1.456617737032581,2006-08-14,1850
159,36.357662,-119.356544,1.456617737032581,2006-08-14,1850
160,36.349552,-119.30164,1.456617737032581,2006-08-14,1850
161,36.341415,-119.24675,1.456617737032581,2006-08-14,1850
162,36.33325,-119.19186,1.456617737032581,2006-08-14,1850
163,36.325054,-119.13696,1.456617737032581,2006-08-14,1850
164,36.22447,-118.47776,2.151682645338892,2006-08-14,1850
165,36.02123,-117.21908,2.151682645338892,2006-08-14,1850
166,36.40129,-119.9782,0.806459038623858,2006-08-14,1850
167,36.3934,-119.92284,0.806459038623858,2006-08-14,1850
168,36.38549,-119.86755,0.806459038623858,2006-08-14,1850
169,36.377563,-119.81234,0.806459038623858,2006-08-14,1850
170,36.36962,-119.75719,0.806459038623858,2006-08-14,1850
171,36.361664,-119.702095,0.806459038623858,2006-08-14,1850
172,36.353687,-119.64705,1.456617737032581,2006-08-14,1850
173,36.345688,-119.59205,0.806459038623858,2006-08-14,1850
174,36.337673,-119.537094,0.806459038623858,2006-08-14,1850
175,36.329636,-119.48216,1.456617737032581,2006-08-14,1850
176,36.32158,-119.42726,1.456617737032581,2006-08-14,1850
177,36.313496,-119.37238,1.456617737032581,2006-08-14,1850
178,36.30539,-119.31751,1.456617737032581,2006-08-14,1850
179,36.29726,-119.26264,1.456617737032581,2006-08-14,1850
180,36.28911,-119.20778,1.456617737032581,2006-08-14,1850
181,36.280926,-119.15291,1.456617737032581,2006-08-14,1850
182,36.272717,-119.09803,1.456617737032581,2006-08-14,1850
183,36.26448,-119.043175,1.456617737032581,2006-08-14,1850
184,36.35664,-119.987686,0.806459038623858,2006-08-14,1850
185,36.348778,-119.93236,0.806459038623858,2006-08-14,1850
186,36.340897,-119.8771,0.806459038623858,2006-08-14,1850
187,36.332996,-119.821915,0.806459038623858,2006-08-14,1850
188,36.32508,-119.766785,0.806459038623858,2006-08-14,1850
189,36.317142,-119.71172,0.806459038623858,2006-08-14,1850
190,36.309185,-119.65671,1.456617737032581,2006-08-14,1850
191,36.301205,-119.601746,1.456617737032581,2006-08-14,1850
192,36.2932,-119.546814,0.806459038623858,2006-08-14,1850
193,36.285175,-119.49191,0.806459038623858,2006-08-14,1850
194,36.277126,-119.43704,0.806459038623858,2006-08-14,1850
195,36.26905,-119.38219,1.456617737032581,2006-08-14,1850
196,36.26095,-119.32735,1.456617737032581,2006-08-14,1850
197,36.25282,-119.272514,1.456617737032581,2006-08-14,1850
198,36.244663,-119.21768,1.456617737032581,2006-08-14,1850
199,36.23648,-119.16284,1.456617737032581,2006-08-14,1850
200,36.228264,-119.107994,1.456617737032581,2006-08-14,1850
201,36.22003,-119.0532,1.456617737032581,2006-08-14,1850
202,36.211765,-118.99837,1.456617737032581,2006-08-14,1850
203,36.118668,-118.393234,2.151682645338892,2006-08-14,1850
204,36.30488,-119.94824,0.806459038623858,2006-08-14,1850
205,36.29698,-119.89303,0.806459038623858,2006-08-14,1850
206,36.289062,-119.837875,0.806459038623858,2006-08-14,1850
207,36.28113,-119.78278,0.806459038623858,2006-08-14,1850
208,36.27318,-119.72775,0.806459038623858,2006-08-14,1850
