Latitude,Longitude,Altitude,Aerosol_Type
43.52233240532455,-112.87716138745374,2.1999999999999997,3
43.52529342613954,-112.87818940302601,2.1999999999999997,3
43.52825472731437,-112.87921772586242,2.1999999999999997,3
43.53121638009313,-112.8802462793368,2.1999999999999997,3
43.5341784557199,-112.881274986823,2.1999999999999997,3
43.53714102543874,-112.88230377169468,2.1999999999999997,3
43.540104160493705,-112.88333255732569,2.1999999999999997,3
43.543067932128906,-112.88436126708984,2.1999999999999997,3
43.546032403959906,-112.88538983678762,2.1999999999999997,3
43.54899760908851,-112.88641825192673,2.1999999999999997,3
43.551963572987994,-112.88744651044153,2.1999999999999997,3
43.55493032113164,-112.88847461026639,2.1999999999999997,3
43.55789787899279,-112.88950254933577,2.1999999999999997,3
43.56086627204472,-112.89053032558407,2.1999999999999997,3
43.563835525760716,-112.89155793694556,2.1999999999999997,3
43.569776717078156,-112.89361265674603,2.1999999999999997,3
43.587623596191406,-112.89977264404298,2.1999999999999997,3
