OID_,Latitude,Longitude,Altitude_ft_asl,Aerosol_Type,Altitude_km_AGL
1,45.661036208413414,-115.288680020964179,2.740000000000000,5,0.9096292
2,45.663995075322674,-115.289763475060894,2.740000000000000,5,0.9105141
3,45.666954075132942,-115.290847200884883,2.740000000000000,5,0.9261193
4,45.669913104096352,-115.291931266205282,2.740000000000000,5,0.9483302
5,45.672872058465025,-115.293015738791155,2.740000000000000,5,0.9543868
6,45.675830834491016,-115.294100686411525,2.740000000000000,5,1.0532819
7,45.678789328426440,-115.295186176835443,2.740000000000000,5,1.1445764
8,45.681747436523438,-115.296272277832045,2.740000000000000,5,1.1361648
9,45.684705077500624,-115.297359036813674,2.740000000000000,5,1.0727650
10,45.687662259942968,-115.298446419766520,2.740000000000000,5,1.0486563
11,45.690619014901927,-115.299534372319883,2.740000000000000,5,1.0396392
12,45.693575373428970,-115.300622840103244,2.740000000000000,5,1.0659401
13,45.696531366575641,-115.301711768746060,2.740000000000000,5,1.0610398
14,45.699487025393402,-115.302801103877769,2.740000000000000,5,1.1157881
15,45.702442380933704,-115.303890791127742,2.740000000000000,5,1.1431799
16,45.749722812677639,-115.321323575832466,2.740000000000000,5,1.2267112
17,45.752682277494443,-115.322408500590214,2.740000000000000,5,1.2176267
18,45.755643121288792,-115.323492194143711,2.740000000000000,5,1.1824234
19,45.758605499926432,-115.324574534938904,2.740000000000000,5,1.1633201
20,45.761569569273121,-115.325655401421614,2.740000000000000,5,1.1815337
21,45.764535485194550,-115.326734672037645,2.740000000000000,5,1.1915882
22,45.767503403556454,-115.327812225232847,2.740000000000000,5,1.1556305
23,45.770473480224609,-115.328887939453139,2.740000000000000,5,1.0820249
24,45.773445789124537,-115.329961767332179,2.740000000000000,5,1.0781189
25,45.776420076421161,-115.331033958255432,2.740000000000000,5,1.1020896
26,45.779396006339191,-115.332104835796130,2.740000000000000,5,1.1631570
27,45.782373243103365,-115.333174723527563,2.740000000000000,5,1.2113582
28,45.785351450938400,-115.334243945023090,2.740000000000000,5,1.2048169
29,45.788330294069063,-115.335312823856000,2.740000000000000,5,1.2069139
30,45.791309436720027,-115.336381683599470,2.740000000000000,5,1.2414652
31,45.972044568152633,-115.403140266510889,4.270000000000000,6,2.7201874
32,45.974990652540988,-115.404234921336794,4.270000000000000,6,2.7019029
33,45.977936910486818,-115.405329596000314,4.270000000000000,6,2.6444139
34,46.034068463966072,-115.426138392964134,4.330000000000000,6,2.7899709
35,46.037021636962891,-115.427230834960952,4.330000000000000,6,2.9163289
36,46.039973277130990,-115.428322562333818,3.820000000000000,6,2.5098412
37,46.042923423598388,-115.429413605672536,4.000000000000000,6,2.7464337
38,46.045872166852085,-115.430504015124967,4.000000000000000,6,2.8395014
39,46.048819597379136,-115.431593840838971,4.000000000000000,6,2.8902783
40,46.057654917470742,-115.434860317029717,3.760000000000000,6,2.8686588
41,46.060598001961544,-115.435948309269151,4.690000000000000,5,3.8029318
42,46.063540226160882,-115.437035968509676,4.690000000000000,5,3.8884614
43,46.066481680555746,-115.438123344899168,4.690000000000000,5,3.8411782
44,46.069422455633230,-115.439210488585545,4.690000000000000,5,3.8057017
45,46.092934869894009,-115.447905490908397,4.690000000000000,5,4.0064468
46,46.113510156449806,-115.455528237263920,4.450000000000000,5,3.2311685
47,46.116451193959115,-115.456619795337645,4.450000000000000,5,3.2836785
48,46.119392877381998,-115.457712212168801,4.450000000000000,5,3.1929572
49,46.131167353360709,-115.462091641774663,4.090000000000000,5,2.4910569
50,46.401974198627585,-115.563239199020231,3.520000000000000,3,1.8233920
51,46.457924771578710,-115.584359244730592,3.520000000000000,3,1.9304976
52,46.460871023852150,-115.585467114752163,3.520000000000000,3,1.9506998
53,46.463815951503172,-115.586574734643534,3.520000000000000,3,2.0618563
54,46.466759299956969,-115.587682121491255,1.810000000000000,5,0.3663877
55,46.469700814638671,-115.588789292381861,1.810000000000000,5,0.4221783
56,46.472640240973440,-115.589896264401830,1.810000000000000,5,0.4117027
57,46.475577324386400,-115.591003054637596,3.520000000000000,3,2.1254697
58,46.478511810302741,-115.592109680175781,3.520000000000000,3,2.0035636
59,46.481443557426594,-115.593216147598483,3.520000000000000,3,1.9754932
60,46.484372877578203,-115.594322421470750,2.170000000000000,5,0.5270460
61,46.487300195856776,-115.595428455853124,2.170000000000000,5,0.5050847
62,46.490225937361558,-115.596534204806304,2.170000000000000,5,0.4793527
63,46.493150527191801,-115.597639622390943,3.520000000000000,3,1.7954820
64,46.496074390446715,-115.598744662667713,3.520000000000000,3,1.7811986
65,46.498997952225530,-115.599849279697139,3.520000000000000,3,1.8974983
66,46.546016655070602,-115.617440459732620,2.950000000000000,3,1.6188022
67,46.548972936650337,-115.618536089533023,2.950000000000000,3,1.7489519
68,46.551929801049106,-115.619631772318627,2.950000000000000,3,1.7787030
69,46.554886921422721,-115.620727606943547,2.950000000000000,3,1.7879131
70,46.557843970926974,-115.621823692261898,2.950000000000000,3,1.9088401
71,46.560800622717608,-115.622920127127685,2.950000000000000,3,1.9169658
72,46.563756549950433,-115.624017010394994,2.950000000000000,3,1.9171458
73,46.566711425781250,-115.625114440917969,2.950000000000000,3,1.9182445
74,46.569664974558769,-115.626212501603348,2.950000000000000,3,1.8683498
75,46.572617125403738,-115.627311211569094,2.950000000000000,3,1.8090184
76,46.575567858629746,-115.628410573985747,2.950000000000000,3,1.7576891
77,46.578517154550489,-115.629510592023891,2.950000000000000,3,1.7689681
78,46.581464993479614,-115.630611268854253,2.950000000000000,3,1.7887722
79,46.584411355730794,-115.631712607647415,2.950000000000000,3,1.7349702
80,46.587356221617640,-115.632814611573906,2.950000000000000,3,1.7744772
81,46.590299571453862,-115.633917283804408,2.950000000000000,3,1.7886313
82,46.593241385553085,-115.635020627509562,2.950000000000000,3,1.7844052
83,46.596181644228949,-115.636124645859894,2.950000000000000,3,1.7659191
84,46.599120327795163,-115.637229342026089,2.950000000000000,3,1.8001118
85,46.602057416565351,-115.638334719178786,2.950000000000000,3,1.7763965
86,46.604992890853168,-115.639440780488542,2.950000000000000,3,1.7636318
87,46.607926730972267,-115.640547529125953,2.950000000000000,3,1.7641305
88,46.610858917236328,-115.641654968261733,2.950000000000000,3,1.7698596
89,46.613789486144654,-115.642763109075261,2.950000000000000,3,1.7687098
90,46.616718698939287,-115.643871994781648,2.950000000000000,3,1.7654477
91,46.619646873047927,-115.644981676604658,2.950000000000000,3,1.7203652
92,46.622574325898249,-115.646092205768241,2.950000000000000,3,1.7453218
93,46.625501374917967,-115.647203633496275,2.950000000000000,3,1.7373197
94,46.628428337534800,-115.648316011012668,2.950000000000000,3,1.7057195
95,46.631355531176396,-115.649429389541183,2.950000000000000,3,1.6755435
96,46.634283273270484,-115.650543820305813,2.950000000000000,3,1.6095046
97,46.637211881244774,-115.651659354530409,2.950000000000000,3,1.5928478
98,46.640141672526923,-115.652776043438791,2.950000000000000,3,1.5466055
99,46.643072964544650,-115.653893938254924,2.950000000000000,3,1.4705212
100,46.646006074725690,-115.655013090202672,2.950000000000000,3,1.5330003
101,46.648941320497684,-115.656133550505885,2.950000000000000,3,1.6153586
102,46.651879019288344,-115.657255370388413,2.950000000000000,3,1.6393982
103,46.654819488525391,-115.658378601074219,2.950000000000000,3,1.6492221
104,46.657762941503478,-115.659503239269284,2.950000000000000,3,1.7062593
105,46.660709174985293,-115.660629063608539,2.950000000000000,3,1.7191191
106,46.663657881600422,-115.661755798208929,2.950000000000000,3,1.7823267
107,46.666608753978508,-115.662883167187474,2.950000000000000,3,1.7851949
108,46.669561484749210,-115.664010894661274,2.950000000000000,3,1.7565490
109,46.672515766542155,-115.665138704747363,2.950000000000000,3,1.7444633
110,46.675471291986945,-115.666266321562702,2.950000000000000,3,1.7688847
111,46.678427753713237,-115.667393469224336,2.950000000000000,3,1.7966655
112,46.681384844350667,-115.668519871849355,2.950000000000000,3,1.7682446
113,46.684342256528844,-115.669645253554648,2.950000000000000,3,1.7555465
